Prova,Pais,Data,Swim,Bike,Run,Avg. Air Temp (°C),Avg. Water Temp (°C),Airport
IRONMAN 70.3 Middle East Championship Bahrain,"Bahrain, Middle East","Nov 29, 2024",Bay,Flat,Flat,22,23,BAH
IRONMAN 70.3 Cartagena,"Cartagena, Colombia","Dec 1, 2024",Bay,Flat,Flat,29,27,CTG
IRONMAN 70.3 Acapulco,"Acapulco, Mexico","Dec 1, 2024",Ocean,Rolling,Flat,31,29,ACA
IRONMAN Western Australia,"Busselton, Western Australia","Dec 1, 2024",Bay,Flat,Flat,27,20,PER
IRONMAN 70.3 Western Australia Asia-Pacific Championship,"Busselton, Western Australia","Dec 1, 2024",Bay,Flat,Flat,27,20,PER
IRONMAN 70.3 Indian Wells La Quinta,"Indian Wells, California","Dec 8, 2024",Lake,Flat,Rolling,18,14,PSP
IRONMAN 70.3 World Championship - Women,"Taupo, New Zealand","Dec 14, 2024",Lake,Rolling,Flat,20,18,TUO
IRONMAN 70.3 Florida,"Haines City, Florida","Dec 15, 2024",Lake,Rolling,Rolling,22,22,MCO
IRONMAN 70.3 World Championship - Men,"Taupo, New Zealand","Dec 15, 2024",Lake,Rolling,Flat,20,18,TUO
IRONMAN 70.3 Pucon,"Pucon, Chile","Jan 12, 2025",Lake,Rolling,Hilly,18,19,ZCO
IRONMAN 70.3 Oman,"Muscat, Oman","Feb 8, 2025",Ocean,Rolling,Flat,24,24,MCT
IRONMAN 70.3 New Zealand,"Taupo, Waikato","March 1, 2025",Lake,Rolling,Flat,21,18,TUO
IRONMAN New Zealand,"Taupo, Waikato","March 1, 2025",Lake,Rolling,Flat,21,18,TUO
IRONMAN 70.3 Monterrey,"Monterrey, Mexico","March 2, 2025",River,Flat,Flat,25,25,MTY
IRONMAN 70.3 Puerto Princesa,"Puerto Princesa, Philippines","March 2, 2025",Bay,Rolling,Rolling,32,29,PPS
IRONMAN 70.3 Punta del Este,"Punta del Este, Uruguay","March 9, 2025",Ocean,Hilly,Flat,21,23,MVD
IRONMAN 70.3 Puerto Rico,"San Juan, Puerto Rico, US Territory","March 16, 2025",Bay,Flat,Hilly,27,27,SJU
IRONMAN 70.3 Campeche,"Campeche, Mexico","March 16, 2025",Ocean,Flat,Flat,30,28,CPE
IRONMAN 70.3 Geelong,"Geelong, Victoria","March 23, 2025",Bay,Rolling,Rolling,19,18,MEL
5150 Triathlon Series Nelson Mandela Bay,"Nelson Mandela Bay, Port Elizabeth","March 29, 2025",Bay,Flat,Flat,23,20,PLZ
IRONMAN 70.3 Panama,"Panamá City, Panamá","March 30, 2025",Reservoir,Flat,Flat,28,27,PTY
IRONMAN South Africa African Championship,"Nelson Mandela Bay, Port Elizabeth","March 30, 2025",Bay,Rolling,Rolling,23,20,PLZ
IRONMAN 70.3 Oceanside,"Oceanside, California","April 5, 2025",Ocean,Rolling,Rolling,19,16,SAN
