Prova,Pais,Data,Swim,Bike,Run,Avg. Air Temp (°C),Avg. Water Temp (°C),Airport,Coordinates
IRONMAN 70.3 Middle East Championship Bahrain,"Bahrain, Middle East","Nov 29, 2024",Bay,Flat,Flat,22,23,BAH,"26.1859384, 50.5288614"
IRONMAN 70.3 Cartagena,"Cartagena, Colombia","Dec 1, 2024",Bay,Flat,Flat,29,27,CTG,"10.4265566, -75.5441671"
IRONMAN 70.3 Acapulco,"Acapulco, Mexico","Dec 1, 2024",Ocean,Rolling,Flat,31,29,ACA,"16.8680495, -99.8940182"
IRONMAN Western Australia,"Busselton, Western Australia","Dec 1, 2024",Bay,Flat,Flat,27,20,PER,"-33.644499, 115.3488754"
IRONMAN 70.3 Western Australia Asia-Pacific Championship,"Busselton, Western Australia","Dec 1, 2024",Bay,Flat,Flat,27,20,PER,"-33.644499, 115.3488754"
IRONMAN 70.3 Indian Wells La Quinta,"Indian Wells, California","Dec 8, 2024",Lake,Flat,Rolling,18,14,PSP,"33.7217965, -116.338303"
IRONMAN 70.3 World Championship - Women,"Taupo, New Zealand","Dec 14, 2024",Lake,Rolling,Flat,20,18,TUO,"-38.6866197, 176.0694773"
IRONMAN 70.3 Florida,"Haines City, Florida","Dec 15, 2024",Lake,Rolling,Rolling,22,22,MCO,"28.1067315, -81.6287423"
IRONMAN 70.3 World Championship - Men,"Taupo, New Zealand","Dec 15, 2024",Lake,Rolling,Flat,20,18,TUO,"-38.6866197, 176.0694773"
IRONMAN 70.3 Pucon,"Pucon, Chile","Jan 12, 2025",Lake,Rolling,Hilly,18,19,ZCO,"-39.273222, -71.9329968"
IRONMAN 70.3 Oman,"Muscat, Oman","Feb 8, 2025",Ocean,Rolling,Flat,24,24,MCT,"23.5882019, 58.3829448"
IRONMAN 70.3 New Zealand,"Taupo, Waikato","March 1, 2025",Lake,Rolling,Flat,21,18,TUO,"-38.6866197, 176.0694773"
IRONMAN New Zealand,"Taupo, Waikato","March 1, 2025",Lake,Rolling,Flat,21,18,TUO,"-38.6866197, 176.0694773"
IRONMAN 70.3 Monterrey,"Monterrey, Mexico","March 2, 2025",River,Flat,Flat,25,25,MTY,"25.6802019, -100.315258"
IRONMAN 70.3 Puerto Princesa,"Puerto Princesa, Philippines","March 2, 2025",Bay,Rolling,Rolling,32,29,PPS,"9.7398561, 118.7438187"
IRONMAN 70.3 Punta del Este,"Punta del Este, Uruguay","March 9, 2025",Ocean,Hilly,Flat,21,23,MVD,"-34.9632342, -54.9439981"
IRONMAN 70.3 Puerto Rico,"San Juan, Puerto Rico, US Territory","March 16, 2025",Bay,Flat,Hilly,27,27,SJU,Not Found
IRONMAN 70.3 Campeche,"Campeche, Mexico","March 16, 2025",Ocean,Flat,Flat,30,28,CPE,"19.0, -90.5"
IRONMAN 70.3 Geelong,"Geelong, Victoria","March 23, 2025",Bay,Rolling,Rolling,19,18,MEL,"-38.1493248, 144.3598241"
5150 Triathlon Series Nelson Mandela Bay,"Nelson Mandela Bay, Port Elizabeth","March 29, 2025",Bay,Flat,Flat,23,20,PLZ,"-33.93779205, 25.599408729036078"
IRONMAN 70.3 Panama,"Panamá City, Panamá","March 30, 2025",Reservoir,Flat,Flat,28,27,PTY,"8.9714493, -79.5341802"
IRONMAN South Africa African Championship,"Nelson Mandela Bay, Port Elizabeth","March 30, 2025",Bay,Rolling,Rolling,23,20,PLZ,"-33.93779205, 25.599408729036078"
IRONMAN 70.3 Oceanside,"Oceanside, California","April 5, 2025",Ocean,Rolling,Rolling,19,16,SAN,"33.1958696, -117.379483"
