Race Name,Location,Swim Type,Bike Type,Run Type,Air Temperature,Water Temperature,Airport,Coordinates
IRONMAN 70.3 Middle East Championship Bahrain,"Bahrain, Middle East",Bay,Flat,Flat,72° F / 22° C,73° F / 23° C,BAH,"26.1859384, 50.5288614"
IRONMAN 70.3 Cartagena,"Cartagena, Colombia",Bay,Flat,Flat,84° F / 29° C,81° F / 27° C,CTG,"10.4265566, -75.5441671"
IRONMAN 70.3 Acapulco,"Acapulco, Mexico",Ocean,Rolling,Flat,88° F / 31° C,84° F / 29° C,ACA,"16.8680495, -99.8940182"
IRONMAN 70.3 Western Australia Asia-Pacific Championship,"Busselton, Western Australia",Bay,Flat,Flat,81° F / 27° C,68° F / 20° C,PER,"-33.644499, 115.3488754"
IRONMAN 70.3 Indian Wells La Quinta,"Indian Wells, California",Lake,Flat,Rolling,65° F / 18° C,57° F / 14° C,PSP,"33.7217965, -116.338303"
IRONMAN 70.3 World Championship - Women,"Taupo, New Zealand",Lake,Rolling,Flat,68° F / 20° C,64° F / 18° C,TUO,"-38.6866197, 176.0694773"
IRONMAN 70.3 Florida,"Haines City, Florida",Lake,Rolling,Rolling,71° F / 22° C,71° F / 22° C,MCO,"28.1067315, -81.6287423"
IRONMAN 70.3 World Championship - Men,"Taupo, New Zealand",Lake,Rolling,Flat,68° F / 20° C,64° F / 18° C,TUO,"-38.6866197, 176.0694773"
IRONMAN 70.3 Pucon,"Pucon, Chile",Lake,Rolling,Hilly,64° F / 18° C,66° F / 19° C,ZCO,"-39.273222, -71.9329968"
IRONMAN 70.3 Oman,"Muscat, Oman",Ocean,Rolling,Flat,75° F / 24° C,75° F / 24° C,MCT,"23.5882019, 58.3829448"
IRONMAN 70.3 New Zealand,"Taupo, Waikato",Lake,Rolling,Flat,70° F / 21° C,65° F / 18° C,TUO,"-38.6866197, 176.0694773"
IRONMAN 70.3 Monterrey,"Monterrey, Mexico",River,Flat,Flat,77° F / 25° C,77° F / 25° C,MTY,"25.6802019, -100.315258"
IRONMAN 70.3 Puerto Princesa,"Puerto Princesa, Phillippines",Bay,Rolling,Rolling,89° F / 32° C,84° F / 29° C,PPS,Not Found
IRONMAN 70.3 Punta del Este,"Punta del Este, Uruguay",Ocean,Hilly,Flat,70° F / 21° C,73° F / 23° C,MVD,"-34.9632342, -54.9439981"
IRONMAN 70.3 Puerto Rico,"San Juan, Puerto Rico, United States Territory",Bay,Flat,Hilly,80° F / 27° C,80° F / 27° C,SJU,Not Found
IRONMAN 70.3 Middle East Championship Bahrain,"Bahrain, Middle East",Bay,Flat,Flat,72° F / 22° C,73° F / 23° C,BAH,"26.1859384, 50.5288614"
IRONMAN 70.3 Cartagena,"Cartagena, Colombia",Bay,Flat,Flat,84° F / 29° C,81° F / 27° C,CTG,"10.4265566, -75.5441671"
IRONMAN 70.3 Acapulco,"Acapulco, Mexico",Ocean,Rolling,Flat,88° F / 31° C,84° F / 29° C,ACA,"16.8680495, -99.8940182"
IRONMAN 70.3 Western Australia Asia-Pacific Championship,"Busselton, Western Australia",Bay,Flat,Flat,81° F / 27° C,68° F / 20° C,PER,"-33.644499, 115.3488754"
